Bored,Adjective,feeling weary because one is unoccupied or lacks interest in one's current activity
Hefty,Adjective,"large, heavy, and powerful."
Prod,Verb,"poke (someone) with a finger, foot, or pointed object"
Defy,Verb,openly resist or refuse to obey
Draw,Verb,"produce (a picture or diagram) by making lines and marks, especially with a pen or pencil, on paper"
Belong,Verb,be the property of
Accurate,Adjective,"(of information, measurements, statistics, etc.) correct in all details; exact"
Worry,Verb,give way to anxiety or unease; allow one's mind to dwell on difficulty or troubles
Superficial,Adjective,existing or occurring at or on the surface
Luxurious,Adjective,"extremely comfortable, elegant, or enjoyable, especially in a way that involves great expense"
Dog,Noun,"a domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, nonretractable claws, and a barking, howling, or whining voice"
Detect,Verb,discover or identify the presence or existence of
Yawn,Verb,"involuntarily open one's mouth wide and inhale deeply, typically on account of tiredness or boredom"
Abnormally,Adverb,in a manner that deviates from what is normal or usual; irregularly or extraordinarily
Infamous,Adjective,well known for some bad quality or deed
Habitual,Adjective,done or doing constantly or as a habit
Income,Noun,"money received, especially on a regular basis, for work or through investments"
Rampant,Adjective,(especially of something unwelcome or unpleasant) flourishing or spreading unchecked
Concern,Noun,anxiety; worry.
Fetch,Verb,go for and then bring back (someone or something) for someone
